lr,Nodes per layer,Number of layers,Dropout,Batch size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration
0.001,1500,1,0.5,256,2,0.180655089,0.442514838,0.578105078,0.719454825,3.75476124,3.009165941,221
0.001,1500,1,0.5,256,3,0.187469774,0.4503847,0.593932732,0.734183337,3.792338813,2.30478806,222
0.001,1500,1,0.5,512,1,0.198373269,0.458650253,0.587953396,0.715366015,3.742250702,4.580331723,217
0.001,1500,1,0.5,512,2,0.191426687,0.442207078,0.57634645,0.715893603,3.732591873,3.358466893,216
0.001,1500,1,0.5,512,3,0.186326665,0.444757089,0.579204221,0.717740163,3.766231754,2.635286181,218
0.001,1500,1,0.5,1024,1,0.203385359,0.473071005,0.606594856,0.732688503,3.750489681,4.809544461,225
0.001,1500,1,0.5,1024,2,0.186414597,0.451264014,0.584655968,0.71941086,3.714892201,3.761351106,221
0.001,1500,1,0.5,1024,3,0.186678391,0.44823038,0.586722357,0.721213454,3.704758686,3.056156718,221
0.001,1500,1,0.5,2048,1,0.200395691,0.470301165,0.594943944,0.722004836,4.000687818,5.13614431,223
0.001,1500,1,0.5,2048,2,0.210463838,0.475796878,0.606946582,0.740074742,3.675900519,4.398085732,223
0.001,1500,1,0.5,2048,3,0.202550011,0.468498571,0.59907672,0.729435041,3.66536661,3.729536618,224
0.001,2000,1,0,128,1,0.180523192,0.437942405,0.571905913,0.713827215,3.750300034,3.69819279,312
0.001,2000,1,0,128,2,0.205187953,0.480501209,0.615915586,0.746889426,3.706648987,2.033480875,319
0.001,2000,1,0,128,3,0.205847439,0.483754671,0.621894922,0.755770499,3.875423336,1.274946381,335
0.001,2000,1,0,256,1,0.196658606,0.460848538,0.596087052,0.734403166,3.644835078,3.958134922,294
0.001,2000,1,0,256,2,0.193185315,0.462914926,0.600263794,0.740030776,3.695458415,2.372265471,294
0.001,2000,1,0,256,3,0.187381842,0.478478787,0.623873379,0.758892064,3.824529407,1.596807627,288
0.001,2000,1,0,512,1,0.200043966,0.458870081,0.587909431,0.712552209,3.721042029,4.398863981,281
0.001,2000,1,0,512,2,0.202945702,0.466344251,0.601890525,0.738667839,3.640425232,2.84245303,278
0.001,2000,1,0,512,3,0.199516377,0.465816663,0.603077599,0.747944603,3.71980629,1.997330209,277
0.001,2000,1,0,1024,1,0.202066388,0.473862387,0.600747417,0.730622115,3.704234289,4.651848064,279
0.001,2000,1,0,1024,2,0.198373269,0.464673555,0.598593097,0.727368652,3.664914681,3.281634082,279
0.001,2000,1,0,1024,3,0.200703451,0.479226204,0.615300066,0.745218729,3.671161828,2.464320073,279
0.001,2000,1,0,2048,1,0.212046604,0.470608925,0.595339635,0.723851396,3.902283033,5.027613661,281
