lr,Batch size,Number of layers,Nodes per layer,Kernel size,F1 size,F2 size,Dropout,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,Kernel size 2
0.001,256,1,1000,2,32,64,0,3,0.192086173,0.47711585,0.619696637,0.754627391,3.646240336,1.513399308,1
0.001,256,1,1000,2,32,64,0.25,1,0.183336997,0.47650033,0.609892284,0.7328204,3.677157812,4.475489585,1
0.001,256,1,1000,2,32,64,0.25,2,0.175950758,0.458562321,0.600527588,0.734447131,3.669497185,2.993490237,1
0.001,256,1,1000,2,32,64,0.25,3,0.19723016,0.476412398,0.610507804,0.743767861,3.631596343,2.360800016,1
0.001,256,1,1000,2,32,64,0,1,0.165882612,0.47219169,0.613849198,0.735854034,3.791157765,4.914721297,2
0.001,256,1,1000,2,32,64,0,2,0.192349967,0.473027039,0.608441416,0.739283359,3.613217373,3.410959579,2
0.001,256,1,1000,2,32,64,0,3,0.194680149,0.4824357,0.622686305,0.754627391,3.622452232,2.275976446,2
0.001,256,1,1000,2,32,64,0.25,1,0.180655089,0.465684766,0.598856892,0.726533304,3.715072568,4.656500796,2
0.001,256,1,1000,2,32,64,0.25,2,0.187777534,0.461024401,0.598900857,0.732292812,3.653456752,3.168967155,2
0.001,256,1,1000,2,32,64,0.25,3,0.175379204,0.4473071,0.586326665,0.725873818,3.713018752,2.581058662,2
0.001,256,1,1000,2,32,64,0,1,0.195207738,0.469114091,0.601626731,0.736469554,3.640978151,4.435565587,4
0.001,256,1,1000,2,32,64,0,2,0.195823258,0.482083974,0.621894922,0.755023082,3.569146663,2.541987113,4
0.001,256,1,1000,2,32,64,0,3,0.197186195,0.480237415,0.620048362,0.75708947,3.647787458,1.693660847,4
0.001,256,1,1000,2,32,64,0.25,1,0.16579468,0.454693339,0.58975599,0.723103979,3.801367902,4.785958652,4
0.001,256,1,1000,2,32,64,0.25,2,0.164299846,0.446163992,0.581182678,0.717212574,3.735543088,3.536538956,4
0.001,256,1,1000,2,32,64,0.25,3,0.183952517,0.447834689,0.582325786,0.720290174,3.716049492,2.849463097,4
0.001,256,1,1000,4,32,64,0,1,0.197757749,0.474741701,0.614728512,0.744735107,3.602361802,3.721300114,1
