lr,Batch size,Dropout odds,Hidden size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration,,,,
0.001,128,0.25,1500,3,0.190547373,0.455308859,0.593009453,0.728423829,3.76631428,4.358322356,214,,,,
0.001,128,0.25,1500,4,0.161354144,0.431215652,0.562717081,0.701121126,3.838036485,3.931967912,215,,,,
0.001,128,0.25,1500,5,0.168300725,0.40932073,0.546449769,0.695933172,3.902289897,3.492025604,214,,,,
0.001,128,0.25,2000,1,0.121433282,0.415739723,0.538404045,0.671004616,4.390298581,5.265396069,276,,,,
0.001,128,0.25,2000,2,0.123983293,0.43174324,0.532424709,0.678039129,4.382786636,5.217648635,275,,,,
0.001,128,0.25,2000,3,0.125522093,0.435260497,0.545526489,0.677203781,4.354604461,5.151104374,276,,,,
0.001,128,0.25,2000,4,0.130929875,0.430732029,0.548428226,0.673950319,4.300851026,5.100353595,275,,,,
0.001,128,0.25,2000,5,0.124862607,0.435216531,0.547417015,0.686040888,4.257021288,5.029232902,275,,,,
0.001,128,0.5,500,1,0.123763464,0.42580787,0.536117828,0.666827874,4.391025139,5.271167544,156,,,,
0.001,128,0.5,500,2,0.122532425,0.422818202,0.538975599,0.676939987,4.348930745,5.238571836,160,,,,
0.001,128,0.5,500,3,0.127588481,0.438338096,0.545834249,0.683798637,4.294272758,5.204180145,160,,,,
0.001,128,0.5,500,4,0.128555727,0.437063091,0.550582546,0.683754671,4.314626822,5.164726296,160,,,,
0.001,128,0.5,500,5,0.128775555,0.440052759,0.55832051,0.693251264,4.311990623,5.137608641,160,,,,
0.001,128,0.5,1000,1,0.12534623,0.428094087,0.53620576,0.678171027,4.400515058,5.268934732,171,,,,
0.001,128,0.5,1000,2,0.131105738,0.438162233,0.544823038,0.683315014,4.273444162,5.233987749,172,,,,
0.001,128,0.5,1000,3,0.12688503,0.437063091,0.554011871,0.686216751,4.342299078,5.153024018,171,,,,
0.001,128,0.5,1000,4,0.139810947,0.436183777,0.559683447,0.692899538,4.250504352,5.077118174,171,,,,
0.001,128,0.5,1000,5,0.132248846,0.437502748,0.555111013,0.688678831,4.222245183,5.004646935,171,,,,
0.001,128,0.5,1500,1,0.155638602,0.451835568,0.569004177,0.703583205,4.085158787,5.195661045,214,,,,
0.001,128,0.5,1500,2,0.184480106,0.444273467,0.576258518,0.710661684,3.959892385,4.835162155,217,,,,
0.001,128,0.5,1500,3,0.18197406,0.452451088,0.588524951,0.72226863,3.807944684,4.514544146,214,,,,
0.001,128,0.5,1500,4,0.177489558,0.430863926,0.566849857,0.704418554,3.824208759,4.168088495,215,,,,
0.001,128,0.5,1500,5,0.165398989,0.411035392,0.548164432,0.697208178,3.867771165,3.795285499,214,,,,
0.001,128,0.5,2000,1,0.126621235,0.427258738,0.541613541,0.682655529,4.371709181,5.272281489,276,,,,
0.001,128,0.5,2000,2,0.121389316,0.425324247,0.547636843,0.685161574,4.332911114,5.254731823,275,,,,
0.001,128,0.5,2000,3,0.126225544,0.439085513,0.565882612,0.693822818,4.247345415,5.148153844,276,,,,
0.001,128,0.5,2000,4,0.145350627,0.445328644,0.569267971,0.694394372,4.204245578,5.006300302,277,,,,
0.001,128,0.5,2000,5,0.143943724,0.439876896,0.562013629,0.69421851,4.162377123,4.880298359,277,,,,
0.001,128,0.75,500,1,0.119498791,0.424313036,0.539195428,0.671180479,4.367841825,5.278135794,155,,,,
0.001,128,0.75,500,2,0.125082436,0.427918224,0.546405803,0.680501209,4.326173737,5.189629135,160,,,,
0.001,128,0.75,500,3,0.146273906,0.452451088,0.580918883,0.721741042,3.98192354,4.919762614,159,,,,
0.001,128,0.75,500,4,0.162805012,0.45130798,0.583249066,0.719234997,3.918613537,4.614334287,160,,,,
0.001,128,0.75,500,5,0.165267092,0.452011431,0.583556826,0.720729831,3.852364631,4.393746908,159,,,,
0.001,128,0.75,1000,1,0.11070565,0.424972521,0.547944603,0.677379644,4.315130282,5.25464901,172,,,,
0.001,128,0.75,1000,2,0.141481644,0.440536382,0.570982634,0.70138492,4.142031998,5.095169597,171,,,,
0.001,128,0.75,1000,3,0.144515278,0.437238954,0.572169708,0.7023082,4.103729077,4.926214406,172,,,,
0.001,128,0.75,1000,4,0.137129039,0.448450209,0.569224005,0.701253023,4.082480791,4.790270495,172,,,,
0.001,128,0.75,1000,5,0.141041987,0.439173445,0.571642119,0.70608925,4.087961496,4.654353438,172,,,,
0.001,128,0.75,1500,1,0.128951418,0.432710486,0.559111893,0.685601231,4.346191923,5.273417349,213,,,,
0.001,128,0.75,1500,2,0.156825676,0.450648494,0.579380084,0.714574632,4.049504373,5.025362535,213,,,,
0.001,128,0.75,1500,3,0.162761046,0.442207078,0.575774896,0.712552209,3.908351361,4.754777937,213,,,,
0.001,128,0.75,1500,4,0.17480765,0.449945043,0.586458562,0.726005716,3.83608894,4.5185201,213,,,,
