lr,Batch size,Dropout odds,Hidden size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration,,,,
0.001,2048,0.25,1500,5,0.153440317,0.438118268,0.566586063,0.696988349,4.20199434,5.15195411,194,,,,
0.001,2048,0.5,500,1,0.112728072,0.410727632,0.523851396,0.657199384,4.455827117,5.371983698,121,,,,
0.001,2048,0.5,500,2,0.121433282,0.421894922,0.529171246,0.670696856,4.379618684,5.256154007,117,,,,
0.001,2048,0.5,500,3,0.129566938,0.419872499,0.538404045,0.672939107,4.370950301,5.243832143,118,,,,
0.001,2048,0.5,500,4,0.137085074,0.431655309,0.547548912,0.68212794,4.243932048,5.219082059,118,,,,
0.001,2048,0.5,500,5,0.152517037,0.445460541,0.565530886,0.701516817,4.155572931,5.136330032,119,,,,
0.001,2048,0.5,1000,1,0.123103979,0.421323368,0.540030776,0.672147725,4.405166825,5.330794981,149,,,,
0.001,2048,0.5,1000,2,0.122092768,0.430072543,0.538228182,0.67588481,4.364073277,5.254223781,149,,,,
0.001,2048,0.5,1000,3,0.120993625,0.430380303,0.549351506,0.676412398,4.417237282,5.237129031,149,,,,
0.001,2048,0.5,1000,4,0.151945483,0.450560563,0.570850736,0.700417674,4.196524739,5.178979895,149,,,,
0.001,2048,0.5,1000,5,0.156429985,0.452407122,0.577181798,0.708463399,4.209305286,5.106337388,152,,,,
0.001,2048,0.5,1500,1,0.122400528,0.43081996,0.540338536,0.677863267,4.391818762,5.331349776,187,,,,
0.001,2048,0.5,1500,2,0.122048802,0.431303583,0.547636843,0.679621895,4.343933821,5.248475827,193,,,,
0.001,2048,0.5,1500,3,0.129127281,0.435304463,0.549131677,0.682259837,4.331911763,5.242868561,193,,,,
0.001,2048,0.5,1500,4,0.128951418,0.436491537,0.550714443,0.683446911,4.371758779,5.243330818,192,,,,
0.001,2048,0.5,1500,5,0.127984172,0.436535502,0.549791163,0.686172785,4.424363216,5.232217121,185,,,,
