lr,F1 size,F2 size,Window size,Epoch,Acc@1,Acc@5,Acc@10,Acc@20,test_loss,training_loss,duration
0.001,2,128,0.08,1,0.163719499,0.457146626,0.585262695,0.713158936,4.433731386,5.576363837,251
0.001,2,128,0.08,2,0.160685865,0.457366454,0.588032535,0.720193449,4.40409157,5.257391118,252
0.001,2,128,0.08,3,0.164510882,0.458773357,0.588516157,0.721776215,4.398337724,5.242394796,253
0.001,2,128,0.2,1,0.158839305,0.448793141,0.581261816,0.712631348,4.449143134,5.579310535,383
0.001,2,128,0.2,2,0.158399648,0.454200923,0.579635085,0.711927896,4.420699459,5.25874888,378
0.001,2,128,0.2,3,0.161389316,0.454772477,0.579195428,0.716368433,4.427147982,5.249552086,378
0.001,2,128,0.4,1,0.160290174,0.450375907,0.580646296,0.719533964,4.465291988,5.600840416,616
0.001,2,128,0.4,2,0.16657727,0.450683667,0.582536821,0.722303803,4.378273943,5.227459516,621
0.001,2,128,0.4,3,0.172072983,0.457190591,0.582976478,0.727096065,4.343713697,5.182990739,612
0.001,4,16,0.04,1,0.092670917,0.307531326,0.449804353,0.589439437,5.307485019,5.780975511,133
0.001,4,16,0.04,2,0.143890965,0.414763684,0.555937569,0.692099362,4.650988907,5.419451389,133
0.001,4,16,0.04,3,0.146836667,0.429931853,0.568995384,0.700584744,4.592370743,5.337443143,132
0.001,4,16,0.08,1,0.103662343,0.2751286,0.427249945,0.590802374,5.305657736,5.78078214,158
0.001,4,16,0.08,2,0.151233238,0.416302484,0.552288415,0.698738184,4.641260719,5.418610364,158
0.001,4,16,0.08,3,0.162004836,0.432262036,0.563851396,0.704585623,4.592481274,5.336399215,158
0.001,4,16,0.2,1,0.107355463,0.273721697,0.382097164,0.518830512,5.404221037,5.787184099,244
0.001,4,16,0.2,2,0.143275445,0.410894702,0.545429765,0.686735546,4.677095148,5.448115657,245
0.001,4,16,0.2,3,0.150881512,0.425183557,0.557959991,0.700980435,4.606363678,5.345548048,245
0.001,4,16,0.4,1,0.110345131,0.284405364,0.407421411,0.559059134,5.372103712,5.786447737,400
0.001,4,16,0.4,2,0.153167729,0.412389536,0.545825456,0.688626072,4.660113928,5.436464915,400
0.001,4,16,0.4,3,0.155761706,0.427118048,0.55941086,0.701068367,4.585482407,5.32443596,400
0.001,4,32,0.04,1,0.154442735,0.426986151,0.557168608,0.692187294,4.911850537,5.703018676,141
0.001,4,32,0.04,2,0.162180699,0.44839745,0.577832491,0.714873599,4.511967246,5.320556582,141
0.001,4,32,0.04,3,0.159059134,0.45587162,0.578975599,0.717599472,4.493841945,5.2860386,141
0.001,4,32,0.08,1,0.155190152,0.408828314,0.527052099,0.67081996,4.939712514,5.704949505,168
0.001,4,32,0.08,2,0.158091888,0.441318971,0.57097384,0.710301165,4.525386895,5.328386808,169
0.001,4,32,0.08,3,0.159454825,0.451826775,0.578887668,0.712983073,4.498766984,5.295437757,169
0.001,4,32,0.2,1,0.131888327,0.338439217,0.481943284,0.629712025,5.192977651,5.760192475,256
0.001,4,32,0.2,2,0.158003957,0.429843922,0.561960871,0.703090789,4.560099083,5.362571416,257
0.001,4,32,0.2,3,0.154310838,0.443385359,0.570885909,0.708190811,4.513040362,5.299762723,257
0.001,4,32,0.4,1,0.135361618,0.360158277,0.477414816,0.609971422,5.189694458,5.756812066,417
0.001,4,32,0.4,2,0.158003957,0.435955155,0.567280721,0.70933392,4.523081175,5.361028232,417
0.001,4,32,0.4,3,0.16626951,0.447254342,0.576777314,0.713071005,4.490567112,5.279317845,417
0.001,4,64,0.04,1,0.162180699,0.445187953,0.575458342,0.714258079,4.556210836,5.613012587,173
0.001,4,64,0.04,2,0.159586722,0.454288855,0.576733348,0.717071884,4.456501187,5.283720413,173
0.001,4,64,0.04,3,0.160026379,0.455212135,0.577700594,0.71280721,4.454735417,5.271504965,174
0.001,4,64,0.08,1,0.161697076,0.432877556,0.562796219,0.705728732,4.64558364,5.63520233,213
0.001,4,64,0.08,2,0.157080677,0.442813805,0.568423829,0.714433942,4.4641357,5.277707459,214
0.001,4,64,0.08,3,0.160158277,0.44932073,0.578184216,0.716412398,4.443413003,5.26190117,213
0.001,4,64,0.2,1,0.15787206,0.418544735,0.551101341,0.685724335,4.748086283,5.672670761,324
0.001,4,64,0.2,2,0.15787206,0.44030776,0.570446252,0.712719279,4.474300014,5.29125616,325
0.001,4,64,0.2,3,0.165214333,0.452046604,0.573567817,0.718962409,4.42850505,5.257388544,325
0.001,4,64,0.4,1,0.155937569,0.427381842,0.562400528,0.694121785,4.620028962,5.608815582,543
0.001,4,64,0.4,2,0.15479446,0.453277643,0.581613541,0.710081337,4.408741527,5.222846789,542
0.001,4,64,0.4,3,0.159982414,0.452310398,0.582844581,0.710696856,4.39650827,5.191195901,542
0.001,4,128,0.04,1,0.157476368,0.463609585,0.588252363,0.718302924,4.443650267,5.561398884,210
0.001,4,128,0.04,2,0.173260057,0.457762146,0.590274786,0.723183117,4.394262176,5.256016498,210
0.001,4,128,0.04,3,0.173304023,0.465675973,0.593616179,0.726436579,4.38389082,5.231497815,210
0.001,4,128,0.08,1,0.158927237,0.450331941,0.578623873,0.715005496,4.440289497,5.562539071,268
0.001,4,128,0.08,2,0.164466916,0.453453506,0.581173884,0.721776215,4.406547885,5.240737765,267
